City/District,Waste Type,Waste Generated (Tons/Day),Recycling Rate (%),Population Density (People/km²),Municipal Efficiency Score (1-10),Disposal Method,Cost of Waste Management (₹/Ton),Awareness Campaigns Count,Landfill Name,Landfill Location (Lat),Landfill Location (Long),Landfill Capacity (Tons),Year
Chennai,Plastic,12.79,44.0,9988.96,8,Incineration,1483.71,6,Metro Waste Site,12.886942,80.295456,221653.06,2020
Ahmedabad,Organic,9.61,72.6,7989.5,10,Landfill,950.84,11,Metro Waste Site,23.505731,72.538163,431370.8,2023
Bangalore,Hazardous,7.35,53.56,17327.38,9,Landfill,2819.49,6,North Point Landfill,12.991668,77.64131,100578.68,2019
Bangalore,Organic,37.77,67.31,24270.03,10,Landfill,1097.26,8,East Zone Dump,12.992434,78.055772,423821.59,2023
Pune,Hazardous,26.62,31.11,18935.68,5,Recycling,4746.97,1,North Point Landfill,18.970882,72.671188,16899.11,2022
Surat,Plastic,6.63,54.91,5772.22,8,Composting,1212.96,6,East Zone Dump,23.252106,72.708957,444734.24,2021
Surat,Organic,26.48,44.43,12333.16,5,Incineration,1815.54,6,East Zone Dump,23.126917,72.611241,109500.0,2019
Bangalore,Construction,23.75,65.55,23628.49,7,Incineration,2178.63,8,Central Landfill,12.898708,77.912615,431757.99,2021
Surat,Plastic,11.24,47.81,1166.85,8,Composting,1200.18,5,Metro Waste Site,23.218804,72.783671,82562.6,2023
Chennai,Construction,46.45,32.58,24945.77,1,Incineration,3567.59,2,Central Landfill,13.030483,80.323593,300421.39,2023
Kanpur,Hazardous,1.0,57.4,2940.48,8,Landfill,3676.06,4,East Zone Dump,23.113393,72.748964,18128.04,2019
Ahmedabad,E-Waste,24.55,30.29,13290.23,3,Recycling,4505.1,4,Central Landfill,23.063948,72.767184,121989.51,2019
Nagpur,E-Waste,6.94,77.25,5198.92,9,Incineration,1979.58,18,North Point Landfill,22.540575,72.565294,97623.13,2020
Kanpur,E-Waste,13.14,57.92,9795.25,8,Incineration,2563.76,11,East Zone Dump,23.244952,72.352172,21914.82,2019
Hyderabad,Hazardous,23.93,11.89,16491.34,1,Recycling,7181.84,2,Metro Waste Site,17.190697,78.177611,141552.68,2020
Thane,Construction,7.16,53.76,12646.72,2,Recycling,3908.88,0,West Side Facility,19.191007,73.367754,78641.17,2021
Delhi,Organic,15.47,38.68,13439.91,2,Incineration,2134.57,1,Central Landfill,28.209285,77.230394,105194.24,2022
Surat,Plastic,1.0,26.95,2702.58,3,Incineration,2143.22,0,East Zone Dump,22.988098,72.614045,150405.21,2020
Bhopal,Construction,3.33,69.97,15180.0,6,Composting,2703.12,4,Metro Waste Site,23.492037,72.785995,30123.08,2020
Surat,Organic,11.49,30.22,10571.7,3,Incineration,2659.73,2,East Zone Dump,22.772743,72.620627,360152.0,2023
Indore,Hazardous,35.22,31.17,16844.74,5,Incineration,4644.93,2,North Point Landfill,22.616657,72.382813,489960.16,2020
Kolkata,Hazardous,9.71,54.22,5207.93,10,Landfill,1871.86,11,North Point Landfill,23.021746,88.75058,137837.88,2019
Chennai,Organic,3.74,34.72,1367.31,3,Recycling,2459.72,0,Metro Waste Site,13.168476,80.71093,291982.35,2022
Bangalore,Construction,9.25,34.7,10316.08,1,Composting,3816.5,2,North Point Landfill,12.540961,77.195378,18928.69,2023
Surat,Hazardous,1.0,34.38,3266.63,3,Landfill,5628.53,4,Central Landfill,22.940446,73.038981,278506.22,2023
Surat,E-Waste,14.97,55.56,11163.3,8,Incineration,2153.83,13,Central Landfill,22.533338,72.976782,54730.47,2022
Hyderabad,Construction,7.69,62.6,8663.53,4,Incineration,3221.48,5,Central Landfill,17.434529,78.428231,444975.05,2023
Hyderabad,Hazardous,12.42,17.6,9421.96,2,Incineration,6524.82,2,Central Landfill,17.281652,78.878597,81836.36,2023
Pune,Organic,19.13,40.93,13319.83,6,Recycling,1600.73,5,West Side Facility,19.068625,72.389054,239643.71,2023
Visakhapatnam,Plastic,8.39,58.89,2351.28,8,Incineration,1859.82,6,South City Dump,23.492379,72.11456,446660.13,2022
